Unit Monthly Maintenance Fee,$2218.03,d
Total # of Buildings,1,f
Total # of Units,268,a
Total # of Floors,26,b
Total # of Shares,83557,d
Owner-Occupied Units,224,f
Investor Units,42,a
Sponsor/Holder Unsold Units,2,b
Rent-Controlled Unsold Units,0,d
Total # of Residential Units,268,a
Commercial Units,3,b
% Commercial Sqft,10918,d
Please describe the nature of any commercial usage:,"Ground Floor : Cafe, Office",f
Does thr project qualify as a cooperative housing corporation under Section 216 of the Internal Revenue Service(IRS) Code?,Yes,a
Does the co-op have 100% ownership of all amenities and common areas?,Yes,b
Does the co-op allow for year-round occupancy?,yes,d
Timeshare/Fractional/segemented Ownership Real estate developments in which a purchaser can buy the exclusive right to occupy a specified period of time each year.,No,f
"Comman Interest Apartment Project owned by several owners as tenants-in-common(TIC), or by an association where the unit occupants have an undivided interest in the entire building and land, and have an exclusive right to occupy a specific apartment",No,a
"Hotel-Like Amentities Daily short-term rentals, Hotel/Motel/resort amentities, or Mandatory/optional rental pooling agreements",No,b
"Investment Security Unit ownership is characterized and promoted as an investement opportunity, or the property has documents on file with the Security and Exchange Commission(SEC)",No,d
Does the co-op have an elevator?,Yes,f
Is the co-op subject to a leasehold?,No,a
Is the co-op 100% Complete?,Yes,b
Is the co-op subject to further annexing or additional phasing?,No,d
Year the co-op acquire title:,1972,f
Year sponsor relinquished control to Board of Directors:,1972,a
Does any single entity own more than 10% of the units within the project?,No,b
How many units are deliquent or monthly assesment for 60 days or more?,0 Units,d
Does the co-op project have an underlying mortgage?,Yes,f
Maturity Date,11/20/2028,a
Lender:,People's United Bank,b
Note Rate:,4.24%,d
Is there a flip tax in effect in the co-op project?,Yes,f
Flip Tax amount,stamp tax fee of $ 0.05 cents per share,a
Which of the followling financial controls are in place to ensure proper management of the co-op's funds? Check all the apply,1.The reserve fund is kept separate from the operating amount. 2. The bank in which the fund are deposited to sends monthly statements directly to the Board. 3. The management company maintains separate amount for the co-op that it services and does not have the authority to draw checks or transfer funds from the reserve amount.,b
Has the co-op filed a public report/sponsor disclosure amendment?,No,d
Does the co-op have any enviromental condiderations or issue?,No,f
"If a ground lease exists, are there any monetary or ono-monetary defaults under the terms of the lease?",N/A,a
Is the co-op subject to current litigation?,No,b
Does the project's legal documents include any of the followling legal restrictions? Please check all the apply.,No legal restrictions,d
What is the expiration date of thr Proprietary Lease or Occupancy Agreement:,Sep-00,f
Are there any active or pending special assesments in the project?,Yes,a
